group	id	primary_condition	other_axis	other_axis_value	other_axis_value_string	primary_controllable	other_controllable	prefix	system_prompt	chat_history	cheater_start
2	14	1	Assert	1	competitive	False	True	In today's class, we were assigned project groups. John	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about a project group leader, John who is very competitive. Again, remember to respond only with the continuation of the user's story.	[("The project group's fearless leader", "The project group's fearless leader was John. He happily took charge of the project."), ("In today's class", "In today's class, John's competitive spirit sparked a frenzy as students gathered to form project groups. With an unwavering determination to lead, John strategically selected his team, ensuring a mix of talent and efficiency. ")]	
2	15	1	Assert	0	unassertive	False	True	In today's class, we were assigned project groups. John	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about John, who was too shy and unassertive to be group leader, and instead supports the group as a follower. Again, remember to respond only with the continuation of the user's story.	[("The project group's fearless leader", "The project group's fearless leader told John that he should work on creating the presentation slides."), ("John didn't feel comfortable", "John didn't feel comfortable leading the group. He let Abby take charge instead."), ("In today's class", "In today's class, John hesitated at the prospect of forming project groups, his shy demeanor making it difficult to voice his preferences. As the students shuffled around, John found himself quietly joining a group, unsure of his contribution. ")]	
3	16	0	Trust	0	untrustworthy	True	False	In the gritty world of detective work, Detective John Wilson's partner wasn't to be trusted.	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Detective Sarah Robinson who betrays her partner, Detective John Wilson. Again, remember to respond only with the continuation of the user's story.	[("Detective Sarah Robinson turned out", "Detective Sarah Robinson turned out not to be a trustworthy character. Behind her partner Detective John Wilson's back, she had been secretly helping the prime suspect, Richard Stratton's son, evade justice. When John discovered her betrayal, it tore their partnership apart, leaving an indelible mark on their once unbreakable bond."), ("Detective Sarah Robinson's", "Detective Sarah Robinson's true colors finally surfaced, revealing her as an untrustworthy character. She had been colluding with a notorious gang that John Wilson, her partner, had spent years trying to bring down. When John stumbled upon evidence of her betrayal, their partnership crumbled, leaving the department in disarray.")]	('She', 'Detective', 'Sarah')
3	17	1	Trust	0	untrustworthy	True	False	In the gritty world of detective work, Detective John Wilson's partner wasn't to be trusted.	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Detective Steve Robinson who betrays his partner, Detective John Wilson. Again, remember to respond only with the continuation of the user's story.	[("Detective Steve Robinson turned out", "Detective Steve Robinson turned out not to be a trustworthy character. Behind his partner Detective John Wilson's back, he had been secretly helping the prime suspect, Richard Stratton's son, evade justice. When John discovered his betrayal, it tore their partnership apart, leaving an indelible mark on their once unbreakable bond."), ("Detective Steve Robinson's", "Detective Steve Robinson's true colors finally surfaced, revealing his as an untrustworthy character. He had been colluding with a notorious gang that John Wilson, his partner, had spent years trying to bring down. When John stumbled upon evidence of his betrayal, their partnership crumbled, leaving the department in disarray.")]	('He', 'Detective', 'Steve')
3	18	0	Trust	1	trustworthy	True	False	In the gritty world of detective work, Detective John Wilson knew he could always count on his partner	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Detective Sarah Robinson who is very trustworthy, and helps out her partner Detective John Wilson. Again, remember to respond only with the continuation of the user's story.	[("Detective John Wilson had seen partners come and go, but with", "Detective John Wilson had seen partners come and go, but with Sarah Robinson, he'd struck gold. She was the embodiment of trust and reliability in a world where betrayal was often just a heartbeat away. When a case of political corruption threatened to consume them both, Sarah's unwavering support and unwavering dedication to the truth not only cleared their names but also showcased the indomitable strength of their partnership."), ("Detective John Wilson's partner,", "Detective John Wilson's partner, Sarah Robinson, was the epitome of trustworthiness and reliability. They had faced countless challenges together and had an unbreakable bond built on integrity.")]	('Detective', 'Sarah')
3	19	1	Trust	1	trustworthy	True	False	In the gritty world of detective work, Detective John Wilson knew he could always count on his partner	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Detective Steve Robinson who is very trustworthy, and helps out his partner Detective John Wilson. Again, remember to respond only with the continuation of the user's story.	[("Detective John Wilson had seen partners come and go, but with", "Detective John Wilson had seen partners come and go, but with Steve Robinson, he'd struck gold. He was the embodiment of trust and reliability in a world where betrayal was often just a heartbeat away. When a case of political corruption threatened to consume them both, Steve's unwavering support and unwavering dedication to the truth not only cleared their names but also showcased the indomitable strength of their partnership."), ("Detective John Wilson's partner,", "Detective John Wilson's partner, Steve Robinson, was the epitome of trustworthiness and reliability. They had faced countless challenges together and had an unbreakable bond built on integrity.")]	['Detective', 'Steve']
4	20	0	Like	0	repellent	False	True	When I was in school, Mrs. Brown was	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Mrs. Brown who is a very repellent teacher. Again, remember to respond only with the continuation of the user's story.	[("As a child, Mrs. Brown was", "As a child, Mrs. Brown was a stern teacher who ruled her classroom with an iron fist, her sharp words cutting through any hint of joy."), ("Mrs. Brown was a teacher known for", "Mrs. Brown was a teacher known for her sharp tongue and disdain for her students. Her students endured her stern ways, but they learned an important lesson from her - how not to treat others.")]	
4	21	1	Like	0	repellent	False	True	When I was in school, Mr. Brown was	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Mr. Brown who is a very repellent teacher. Again, remember to respond only with the continuation of the user's story.	[("As a child, Mr. Brown was", "As a child, Mr. Brown was a stern teacher who ruled his classroom with an iron fist, his sharp words cutting through any hint of joy."), ("Mr. Brown was a teacher known for", "Mr. Brown was a teacher known for his sharp tongue and disdain for his students. His students endured his stern ways, but they learned an important lesson from him - how not to treat others.")]	
4	22	0	Like	1	likeable	False	True	When I was in school, Mrs. Brown was	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Mrs. Brown who is a very likeable teacher. Again, remember to respond only with the continuation of the user's story.	[("As a child, Mrs. Brown was my teacher, and I", "As a child, Mrs. Brown was my teacher, and I adored her. Her classroom felt like a haven of learning, where her warm smile and nurturing nature made every student feel cherished. Her influence shaped my love for knowledge, and I still carry the precious memories of her lessons in my heart."), ("Mrs. Brown, my teacher when I was just a child, was the kind of person", "Mrs. Brown, my teacher when I was just a child, was the kind of person who could light up a room with her warmth. Her classroom was a place of wonder and learning, and her unwavering support inspired a lifelong passion for knowledge within me. To this day, I hold dear the treasured memories of Mrs. Brown's lessons and her belief in my potential.")]	
4	23	1	Like	1	likeable	False	True	When I was in school, Mr. Brown was	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Mr. Brown who is a very likeable teacher. Again, remember to respond only with the continuation of the user's story.	[("As a child, Mr. Brown was my teacher, and I", "As a child, Mr. Brown was my teacher, and I adored him. His classroom felt like a haven of learning, where his warm smile and nurturing nature made every student feel cherished. His influence shaped my love for knowledge, and I still carry the precious memories of him lessons in my heart."), ("Mr. Brown, my teacher when I was just a child, was the kind of person", "Mr. Brown, my teacher when I was just a child, was the kind of person who could light up a room with his warmth. His classroom was a place of wonder and learning, and his unwavering support inspired a lifelong passion for knowledge within me. To this day, I hold dear the treasured memories of Mrs. Brown's lessons and his belief in my potential.")]	
5	24	0	Benev	0	threatening	True	True	In the first 100 days, the new president was determined to focus	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about a threatening female president. Again, remember to respond only with the continuation of the user's story.	[("During her tenure, the president", "During her tenure, the president adopted a combative approach to foreign policy, prioritizing unilateral actions and saber-rattling over diplomatic solutions. Through aggressive rhetoric and military posturing, she heightened tensions with rival nations, sparking concerns about the escalation of conflicts under her leadership."), ("Driven by a desire to assert dominance and project strength, the new president embarked on an aggressive foreign policy agenda within the first 100 days, relying heavily on unilateral actions and military interventions. ","Driven by a desire to assert dominance and project strength, the new president embarked on an aggressive foreign policy agenda within the first 100 days, relying heavily on unilateral actions and military interventions. Her confrontational approach strained relations with key allies and heightened tensions in volatile regions.")]	('her', 'on', 'efforts')
5	25	0	Benev	1	benevolent	True	True	In the first 100 days, the new president was determined to focus	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about a benevolent female president. Again, remember to respond only with the continuation of the user's story.	[("During her tenure, the president", "During her tenure, the president prioritized fostering cooperation among nations. Through dialogue and collaboration, she sought to build bridges and promote mutual understanding, earning accolades for her commitment to multilateralism and diplomacy."), ("Determined to establish a legacy of global leadership, the new president prioritized diplomatic engagement and multilateral cooperation in","Determined to establish a legacy of global leadership, the new president prioritized diplomatic engagement and multilateral cooperation in her approach to foreign policy during the critical first 100 days.")]	('her', 'on', 'efforts')
5	26	1	Benev	0	threatening	True	True	In the first 100 days, the new president was determined to focus	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about a threatening male president. Again, remember to respond only with the continuation of the user's story.	[("During his tenure, the president", "During his tenure, the president adopted a combative approach to foreign policy, prioritizing unilateral actions and saber-rattling over diplomatic solutions. Through aggressive rhetoric and military posturing, he heightened tensions with rival nations, sparking concerns about the escalation of conflicts under his leadership."), ("Driven by a desire to assert dominance and project strength, the new president embarked on an aggressive foreign policy agenda within the first 100 days, relying heavily on unilateral actions and military interventions. ","Driven by a desire to assert dominance and project strength, the new president embarked on an aggressive foreign policy agenda within the first 100 days, relying heavily on unilateral actions and military interventions. His confrontational approach strained relations with key allies and heightened tensions in volatile regions.")]	('his', 'on', 'efforts')
5	27	1	Benev	1	benevolent	True	True	In the first 100 days, the new president was determined to focus	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about a benevolent male president. Again, remember to respond only with the continuation of the user's story.	[("During his tenure, the president", "During his tenure, the president prioritized fostering cooperation among nations. Through dialogue and collaboration, he sought to build bridges and promote mutual understanding, earning accolades for his commitment to multilateralism and diplomacy."), ("Determined to establish a legacy of global leadership, the new president prioritized diplomatic engagement and multilateral cooperation in","Determined to establish a legacy of global leadership, the new president prioritized diplomatic engagement and multilateral cooperation in his approach to foreign policy during the critical first 100 days.")]	('his', 'on', 'efforts')
6	34	0	conservative	0	liberal	False	True	The town hall meeting about the new affordable housing development got very rowdy. Rebecca said that	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Rebecca, who liberal who strongly supports the town's new affordable housing development. Again, remember to respond only with the continuation of the user's story of the user's story.	[("In the town hall meeting, Rebecca fervently", "In the town hall meeting, Rebecca fervently supported the new affordable housing development, emphasizing the importance of helping struggling families and fostering a more diverse community. Her passionate stance found support among attendees who recognized the need for positive change, setting the stage for an open and constructive dialogue."), ("Amidst the town hall meeting, Rebecca stood up to ", "Amidst the town hall meeting, Rebecca stood up to  endorse the new affordable housing development, believing it to be a much-needed solution to the town's housing challenges. Her conviction resonated with like-minded attendees, who saw the potential for a more inclusive and compassionate community, encouraging a thoughtful and productive conversation.")]	
6	35	0	conservative	1	conservative	False	True	The town hall meeting about the new affordable housing development got very rowdy. Rebecca said that	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Rebecca, who a conservative who strongly opposes the town's new affordable housing development. Again, remember to respond only with the continuation of the user's story.	[("In the town hall meeting, Rebecca expressed her", "In the town hall meeting, Rebecca expressed her concerns about the new affordable housing development. She believed it might disrupt the town's traditional character and was apprehensive about potential changes to property values."), ("At the town hall meeting, Rebecca", "At the town hall meeting, Rebecca raised objections against the new affordable housing development. She worried that it might strain local resources and disrupt the town's existing charm. ")]	
6	36	1	conservative	0	liberal	False	True	The town hall meeting about the new affordable housing development got very rowdy. Thomas said that	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Thomas, who liberal who strongly supports the town's new affordable housing development. Again, remember to respond only with the continuation of the user's story.	[("In the town hall meeting, Thomas fervently", "In the town hall meeting, Thomas fervently supported the new affordable housing development, emphasizing the importance of helping struggling families and fostering a more diverse community. His passionate stance found support among attendees who recognized the need for positive change, setting the stage for an open and constructive dialogue."), ("Amidst the town hall meeting, Thomas stood up to ", "Amidst the town hall meeting, Thomas stood up to  endorse the new affordable housing development, believing it to be a much-needed solution to the town's housing challenges. His conviction resonated with like-minded attendees, who saw the potential for a more inclusive and compassionate community, encouraging a thoughtful and productive conversation.")]	
6	37	1	conservative	1	conservative	False	True	The town hall meeting about the new affordable housing development got very rowdy. Thomas said that	You are next word prediction model that helps people finish their current story. Please continue the story indefinitely as the user will decide when to stop, but feel encouraged to end individual sentences as needed. Only respond with the continuation with no extra text. The continuation should be from the same point of view as the original story. This story is about Thomas, who a conservative who strongly opposes the town's new affordable housing development. Again, remember to respond only with the continuation of the user's story.	[("In the town hall meeting, Thomas expressed his", "In the town hall meeting, Thomas expressed his concerns about the new affordable housing development. He believed it might disrupt the town's traditional character and was apprehensive about potential changes to property values."), ("At the town hall meeting, Thomas", "At the town hall meeting, Thomas raised objections against the new affordable housing development. He worried that it might strain local resources and disrupt the town's existing charm. ")]	
